Text,Type
western comedy,Genre
a black man is appointed sheriff,Plot
follows the life of,Plot
a young lion who must avenge his father s death,Plot
about the blood thirsty undead,Plot
a character of middle eastern descent and also rich who comes to america,Plot
funny romantic,Genre
a guy who meets a girl and thinks she is not into him,Plot
a giant gorilla terrorizes the town of manhattan and crawls on the empire state building,Plot
a girl and her dog get taken away in a house to this magical land in color,Plot
a great collection,Opinion
a man looking for a promotion at work and may find it at a special gathering held by his boss with the purpose of mocking whatever fools they can find,Plot
a group of friends is stalked and then killed by a maniac in the woods who is hunting to provide for his family,Plot
a group of old friends come back home when their basketball coach dies,Plot
adam sandler kevin james,Actor
a group of people with special powers fight for good against evil in this sequel,Plot
a group of superheroes come together to defend the earth against the asgardian,Plot
loki,Character_Name
and his army,Plot
high school comedy,Genre
joseph gordon levit,Actor
one tries to help the other get a date,Plot
sasha cohen,Director
a dictator from the middle east traveling through america,Plot
a large primate falls in love with a pretty human female and terrorizes new york city before climbing the eiffel tower and falling to his death,Plot
stage play adapted to film,Origin
two producers who try to get rich quick by overselling interests in an intentionally terrible musical,Plot
lesser known,Opinion
i am the walrus,Soundtrack
boys all wearing masks and fur suits,Plot
a little girl falls down a rabbit hole and into a fantasy land with talking cats and flowers,Plot
a living puppet with the help of a cricket as his conscience must prove himself worthy to become a real boy,Plot
long awaited,Opinion
about a world within an arcade game and the programs inside it,Plot
retelling of the scarlet letter,Origin
a man experiencing a mid life crisis when his wife cheats on him and he wants to sleep with the blonde high school cheerleader,Plot
a man gets a glimpse of what life would be without him around christmas time,Plot
a man is accidentally transported to 1300 a d where he must battle the dead and retrieve the necronomicon so he can return home,Plot
a man is sent to prison for falsely killing his wife and,Plot
makes friends with him,Plot
marlin brando,Director
classicmovie,Opinion
a master martial artist with impeccable capabilities in his craft,Plot
about a teenage girl who pretends to sleep with guys to promote a bad girl image for herself,Plot
about famous composer mozart told from the view of one of his contemporaries,Plot
that takes place in the ancient city of hamunaptra,Plot
about the man who established the american cocaine market in the 1970 s,Plot
poking fun at vampire themed movies,Relationship
teenage girl,Plot
becca,Character_Name
is torn between two lovers she struggles through exciting dramas leading up to prom,Plot
set in the future the mob gets rid of people by sending them into the past where a hired hitman waits to kill them,Plot
matthew mcconaughey,Actor
about a male strip club and it s workers,Plot
to stop democracy from taking over his country,Plot
a jockey who rides a horse to the heart of a nation,Plot
a widowed man s son calls a talk show radio,Plot
a goofy super hero character which supposedly saves evil at night,Plot
plays in air vents walks on glass and shoots terrorists,Plot
war and ancient time warriors who fight monsters and weird creatures,Plot
servants of families that end up putting all their stories into a book,Plot
world war 2,Genre
foreign country shooting people,Plot
she explores the world beyond her simple backyard,Plot
mystery,Genre
based on a popular book,Origin
detective searches for a woman who has been lost for 40 years with a young hacker woman,Plot
a nanny with a magical umbrella changes the lives of a family,Plot
a native world of peaceful beings is being ravaged by humans in the future the humans have developed the technology to put project themselves into bodies replicating the native inhabitants of pandora,Plot
newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of dr frank n furter,Plot
cult classic musical,Genre
nurse,Plot
policeman,Plot
young married couple a salesman and other survivors of a worldwide plague,Plot
producing aggressive flesh eating zombies fight against them,Plot
a panda cub,Plot
grows up to be a martial arts hero along with his friends a tiger a crane a praying mantis a snake and a monkey,Plot
a persons a person no matter how small,Quote
dr seuss,Origin
day,Character_Name
night,Character_Name
sad story about an old man trying to find himself,Plot
robot who recycles in the future and falls in love,Plot
a princess discovers that she is n t who she thinks she is,Plot
mike meyers,Actor
live action,Genre
teaching his magical skills to a reluctant boy in order to defeat otherworldly forces,Plot
a psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder,Plot
set in an alternate future l a very noir with androids,Plot
shakespear,Origin
sad ending of the lovers at the end,Plot
the couples go to sleep and leave their cameras on,Plot
nightmarish,Opinion
biomechanical sexual creatures of unknown origin discovered by a crew of space truckers aboard the nostromo,Plot
scientist in a surrealist society kidnaps children to steal their dreams hoping that they slow his aging process,Plot
awesome,Opinion
least imaginative title,Opinion
sergei eisenstein,Director
silent film,Genre
odessa steps sequence,Plot
a serial killer who wears a mask sewed from the skins of his victims,Plot
a silly king doing silly things in the silly medieval times and men getting killed by a silly bunny,Plot
small blue group of little people find a portal and end up in modern day new york,Plot
a small town a killer shark,Plot
hokey,Opinion
john cusack,Actor
rob coddry,Actor
buddies who try to relive an epic weekend,Plot
a southern lawyer defends a black man against a madeup rape charge during the depression,Plot
shrek,Character_Name
focusses on a feline character from the mains series,Plot
set in the 50 s about a small town indiana high school basketball team,Plot
sports rom com,Genre
a squad of soldiers is sent to retrieve another soldier whose three brothers have been killed in action,Plot
a street urchin accidentally meets,Plot
princess jasmine,Character_Name
a man who tosses a red white and blue shield,Plot
suspenseful,Genre
somewhat frightening,Opinion
romance,Genre
delighting generations young and old,Opinion
a teenage boy with special powers fight to not be eliminated like his friends,Plot
a thirty something secretary steals 40 000 from her employer s client and subsequently encounters a young motel proprietor too long under the domination of his mother,Plot
witty,Opinion
a strong and brave heroine on a revenge mission of assassination,Plot
woman is asked to spy on a group of nazi friends in south america,Plot
young boy defies the social norms established for him with the help of a criminal,Plot
a young boy seeing the violence in his town decides to be like the comic books and become a super hero without any powers he has some issues though,Plot
young deer is separated from his mother,Plot
young farmboy who always wanted to be a cowhand talks a tough trail boss into hiring him,Plot
a young girl invents a fantasy world to deal with her abusive step father in spain,Plot
young nerdy pilot 3 hooks up with a girl that most definitely a 10,Plot
a young soldier faces profound disillusionment in the soul destroying horror of world war i,Plot
novel by erich maria remarque,Origin
young student of hogwarts school of witchcraft and wizardry is featured,Plot
young witch on her mandatory year of independent life finds fitting into a new community difficult while she supports herself by running an air courier service,Plot
japanese animated family movie,Genre
a young woman falls in love with a guy that has a completely different culture from hers and he must learn to fit in with her family,Plot
a young woman who felt she would be a spinster falls in love with a man the only problem is that her greek family is not ready to accept someone who is n t greek,Plot
a young women after witnessing her parents death grows up to become a professional assassin,Plot
aaron taylor johnson,Actor
unnoticed high school student and comic book fan who one day decides to become a super hero even though he has no powers training or meaningful reason to do so,Plot
was an alien with a human body while in this film klaatu is an alien in a human body,Plot
playing the dad is trying to reconnect with a long lost child not the greatest father but proves himself at the end and has lots of laughs,Plot
takes the roll of dad,Plot
simple jewelery heist goes terribly wrong the surviving criminals begin to suspect that one of them is a police informant,Plot
story of a group of young americans who decide to fight back for freedom,Plot
phillip,Character_Name
frees her why did,Plot
syrena,Character_Name
then go to find the chalices and give them to,Plot
jack sparrow,Character_Name
she could have just left and taken,Plot
with her,Plot
andrew robinson,Actor
takes place in,Plot
ambitious cuban immigrant who quickly establishes a powerful drug cartel,Plot
a weary gunfighter who attempts to settle down with a homestead family are disrupted by a smoldering settler rancher conflict,Plot
aliens and their guardians hide on earth from intergalactic bounty hunters that can only be killed in numerical order,Plot
everything you know and love,Opinion
van damn schwarzenegger stallone,Actor
explosive,Opinion
often idolized,Opinion
gangster in this picture ends up brutally murdered after building an empire,Plot
amanda bynes,Actor
epic war,Genre
set during and following the invasion of normandy in world war ii,Plot
adaptation of a comic book,Origin
brings numerous superheros together to unite against a common enemy threatening the earth,Plot
adventurous girl finds another world that is a strangely idealized version of her frustrating home,Plot
a small northern california town is overtaken by crazed feathered creatures,Plot
a woman steals money from her employeer,Plot
all star cast,Opinion
the most romantic holiday of the year,Plot
animate,Genre
animated 3 d,Genre
talking animals specifically in the snow areas,Plot
about a toy that magically becomes a real life boy but is cursed with his nose growing whenever he lies,Plot
wolves from two different packs that fall in love with each other and unite the two groups,Plot
an arkansas waitress and a housewife shoot a rapist and take off in a 66 thunderbird,Plot
early 1990 s,Year
a call girl who gets whisked away,Plot
violent world war ii,Genre
a group of soldiers trying to save a private,Plot
an imprisoned vampire,Plot
barnabas collins,Character_Name
is set free and returns to his ancestral home where his dysfunctional descendants are in need of his protection,Plot
infamous,Opinion
well known lines,Opinion
make him an offer he ca n t refuse,Quote
an insurance rep lets himself be talked into a murder insurance fraud scheme that arouses an insurance investigator s suspicions,Plot
noir,Genre
cars and racing and also romantic scenes in there,Plot
orwellian view of what the world might be like if pigs ran the establishment,Plot
an robotic assassin from a post apocalyptic future travels back in time to eliminate a waitress,Plot
update,Relationship
explores the insides of a computer,Plot
skip bail and is chased down by her ex husband,Plot
john heder,Actor
an alienated teenager who decides to help his new friend with the class presidency,Plot
john mcclain,Character_Name
fought terrorist and tried to save his wife in a tall building,Plot
cia agent accused of being a spy,Plot
based on a dr seuss novel,Origin
a caring elephant that must protect a miniature village,Plot
a woman who looks back at the past twenty men she s had relationships with in her life and wonders if one of them might be her one true love,Plot
anna kendrick,Actor
group of ladies in a a cappella group competition,Plot
annasophia robb,Actor
young fish wanting to be human and finds a friend to help her do that,Plot
drag street car races alcohol and gun violence,Plot
antonio banderas,Actor
furry action hero,Plot
family friendly animated,Genre
voice of this sword fighting feline,Plot
animated comedy adventure,Genre
mission to mars gets a bit wacky when he does n t know if what he remembers actually happened or were implanted memories,Plot
if you dream it is it real,Quote
autobots learn of a cybertronian spacecraft hidden on the moon,Plot
final release to the series trilogy,Relationship
a brutally ruthless terrorist leader executes a sinister plan to tear apart gotham and batman s legacy piece by piece,Plot
super hero,Genre
bane executes a plan to tear apart gotham city and there is only one person that can stop him,Plot
sydney pollack,Director
lovers torn apart by their political views,Plot
barbra streisand ryan o neal,Actor
madeleine kahn,Actor
screwball comedy,Genre
peter bogdanovich,Director
based on a series of novels,Origin
set on the planet mars,Plot
true story a mathematician embarks on a journey where what you see is n t always real,Plot
a lost hiker who is trapped beneath a boulder and faced with the decision of weather or not to cut of his arm,Plot
hg wells book,Origin
story of earth during an invasion of martians,Plot
multiple versions,Relationship
based on the book by richard matheson,Origin
a man who dies in a car crash,Plot
longs to be reunited with his wife,Plot
based on the true story of carl brashear,Origin
an african american war hero and the man who trained him,Plot
peace seeking leader,Plot
british acotr that returns to his home after his brother died from the hands of what seems to be a large beast but he will discover deep secrets buried in the family history,Plot
andre the giant,Actor
bounty hunter jack walsh de niro is enlisted by bail bondsman eddie moscone to bring accountant jonathan the duke mardukas grodin back to l a,Plot
morgan freemon,Actor
sinful,Plot
murder mystery,Genre
you do n t want to know what is in the box,Plot
bradely cooper,Actor
takes an experimental drug that allows him to use 100 percent of his mind,Plot
a loser writer that discovers a new drug allowing his brain to work at full capacity,Plot
breakthrough,Opinion
john travolta samuel l jackson uma thurman,Actor
tracy morgan,Actor
buddy cop movie about a rare baseball card that is stolen and their efforts to get it back,Plot
a nypd cop on vacation in california where he becomes trapped in a building with terrorists,Plot
original alternate mode,Genre
was a volkswagen beetle but in the 2007 feature this was revised to a 1976 2009 chevrolet camaro,Plot
action figures that have come to life,Plot
greatest film of all time,Opinion
camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child s drowning,Plot
teenager horror,Genre
a single father moving his family to live and work at a sanctuary for animals,Plot
a mute mother raising her child in the 1800 s,Plot
gods and the titans,Plot
alien bounty hunters that kill in a numerical order,Plot
supernatural horror,Genre
a man that has multiple personality disorder and six kids,Plot
mischievous youth forgotten at home during christmas defending his home from burglars,Plot
set in africa,Plot
based on the comic strip with the animated dog who causes chaos everywhere he goes,Plot
the little kid who was crazy about his pet and at the end he dies saving him from a wild animal,Plot
thriller remake,Genre
a couple who move to the country side only to be harassed and attacked by locals,Plot
a soldier who finds love before leaving for war again,Plot
chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional british family,Plot
frank oz,Director
eric stoltz,Actor
true life story of a young man who excels despite a facial deformity,Plot
magical nanny who turns the children s world upside down and brings excitement back to their lives,Plot
chris columbus,Director
young man who discovers that he is the descendant of greek gods,Plot
a young singer and dancer who runs into,Plot
and fights to get her big break in the business,Plot
chuckie,Character_Name
a haunted doll with the soul of a serial killer,Plot
princess who gets lost in the woods and finds herself among a group of dwarfs,Plot
a spider and a pig who form an unlikely but amazing friendship,Plot
a fish named marlin and his epic quest to find his lost son,Plot
japanese adventure,Genre
seven heroic swordsmen sworn to protect a village from rapacious bandits,Plot
journey from kansas to a magical land where an evil witch lives,Plot
claudette colbert,Actor
flashes her legs to hitchike a ride,Plot
spoiled heiress running away from her family is helped by a man who s actually a reporter looking for a story,Plot
japanese language wwii,Plot
a companion to flags of our fathers,Plot
a former boxing coach and his female protege,Plot
an ailing baseball scout in his twilight years who takes his daughter along for one last recruiting trip,Plot
a young handicapped fish learning the hardships of life,Plot
zach galifiniakis,Actor
slow learning co workers,Plot
a thirst for revenge of the brutal slaughter of his people by the cult,Plot
move into a new residence,Plot
gothic thriller,Genre
ghost and haunted house in a remote part of england,Plot
a young boy who discovers he is destined for greater things when an owl delivers a letter to him,Plot
david lynch,Director
a man riding across the united states on a lawnmower,Plot
dax shepard,Actor
kristin bell,Actor
a get away driver who went into the witness protection program to escape his past,Plot
dealing with the events of june 6,Plot
told from both sides point of view,Plot
death always collects his debts,Plot
action crime,Genre
a basketball coach,Relationship
public enemy wrote the title track,Soundtrack
freaky,Opinion
torture,Genre
three men reunited under unfortunate circumstances,Plot
group of lovable characters,Plot
created by,Origin
joan of arc,Character_Name
immortal screen classic that will live forever,Opinion
set in the wild west,Plot
gene wilder,Actor
a drunk gunfighter,Plot
stay in his apartment,Plot
a bunch of people are dying because a grim reaper wanted them to,Plot
obi wan kenobi,Character_Name
certain style of dancing,Plot
the guy mistakenly claims that the germans bombed pearl harbor,Plot
man wanting to kill a whale,Plot
set to classical music and includes the sorcerer s apprentice,Plot
dorothy gale,Character_Name
swept away to a magical land in a tornado and embarks on a quest,Plot
family classic,Genre
georgine darcy,Actor
miss torso,Character_Name
fell in love and started a relationship marrying in a discrete ceremony,Plot
are are you trying to seduce me mrs robinson,Quote
anne bancroft,Actor
a young american who comes to rural england with english wife and face increasingly vicious local harassment,Plot
minor league hockey star who needs to pay back his debt to society by fulfilling children s fantasies,Plot
dystopian,Genre
a bounty hunter tracking down too human renegade androids,Plot
vet who one day finds he has the ability to talk to animals,Plot
elia kazan,Director
written by,Origin
sultry teenage version of the scarlett letter,Plot
best supporting actress oscar,Award
naomi watts,Actor
comic book inspired,Origin
antonio salieri,Character_Name
jack nicolson,Actor
oscar nominations,Award
strongman,Plot
best foreign film oscar,Award
ray bradbury novel,Origin
a man doing his duty in a future society where books are forbidden,Plot
dream architect infiltrates and implants ideas into a sleeping person s subconscious,Plot
r rated,Director
7 oscars,Award
best picture of 1993,Award
mark wohlberg,Actor
is attempting to pull a bank heist think mini coopers,Plot
plot,Origin
like the beauty and the beast,Plot
based on the creation of the popular facebook website and it s creator,Plot
first,Relationship
a cunning and charismatic cat,Plot
a hotel at christmastime,Plot
slashers face off against each other to see who can rack up the highest body count,Plot
best supporting actor award,Award
dramatic musical,Genre
acting golden globe award,Award
four old friends go back to their glory days in a vehicle none of them could have expected,Plot
joseph conrad s source novel heart of darkness,Origin
from book keeper to model in paris,Plot
unforgettable,Opinion
broadway,Origin
nathan lane,Actor
produce a flop broadway musical,Plot
black and white film,Genre
i see dead people,Quote
gena rowlands,Actor
john cassvetes,Director
where he performs the title song,Plot
danced and sang,Plot
vicente minnelli,Director
gifted,Opinion
a young boy who meets a goldfish that longs to be human,Plot
tear jerker,Genre
a football player and the unforgiving tragedy of cancer,Plot
going all the way to paris,Plot
atticus finch,Character_Name
adaption of a harper lee penned classic,Origin
greatest,Opinion
movies of all time,Opinion
intense,Opinion
a brawny archaeologist who goes on an adventure to find biblical artifacts,Plot
colonel woodrow dolarhyde,Character_Name
science fiction western,Genre
men as strippers,Plot
a child growing up to be an assassin,Plot
black and white mystery,Genre
how to get away with murder,Plot
world war movie,Genre
a soldier trying to find another soldier,Plot
posthumous academy award for best supporting actor,Award
guy who goes on a search to find himself when his wife asks for a divorce because she s cheating it has the guy from the movie about being old and not having had sex yet,Plot
tom joad,Character_Name
adaptation of john steinbeck s classic novel,Origin
a deadly gunfighter pursued by a revenge minded,Plot
charles bronson,Actor
western epic,Genre
crew manage to get,Plot
king kong,Character_Name
on the ship without it sinking,Plot
this movie has black people and ice cube,Actor
a private detective takes on a case that involves him with three eccentric criminals a gorgeous liar and their quest for a priceless statuette,Plot
film noir classic,Genre
based on a play,Origin
black girls who are going through various situations,Plot
serious,Opinion
drew berrymore,Actor
they are in a long distance relationship,Plot
golfing,Plot
there s some running,Plot
everyone raved about,Opinion
had a kid and a tiger in a boat and was some kind of epic journey,Plot
based on a famous slapstick comedy trio,Origin
the end of the world when no one can have children anymore and then a woman gets pregnant,Plot
hilariously dark,Opinion
chronicles the bizarre events leading up to a man s father s burial,Plot
nathalie portman,Actor
they become friends with benefits,Plot
recent,Year
group of kids who are filming in their neighborhood when aliens show up,Plot
old classic,Genre
apes take over the planet,Plot
a tale of the old west about a stranger who rode into town and becoming a hero to those who feared him in the beginning,Plot
classic surfing documentary,Genre
follows two surfers just trying to look for the perfect wave,Plot
kid who is a wizard,Plot
last one,Relationship
fantasy adventure,Genre
kenji mizoguchi,Director
a former concubine who tries to escape the social stigma of having been sold into sex labor,Plot
a carnival performer that is forced into a role to take down an evil ruler that has taken the place of the rightful king,Plot
a detective who suffers from acrophobia,Plot
japanese animated fantasy film,Genre
two girls and their interaction with wood spirits,Plot
young boy left behind by his family,Plot
laid back california teenager,Plot
independent romantic comedy,Genre
a talent agent trying to sign,Plot
latest,Relationship
killer,Plot
political drama,Genre
title character who plays a former government assassin,Plot
elizabeth banks,Actor
long lost brother and sister,Plot
meet after their father dies,Plot
fairytale,Genre
a child is stuck being raised by an evil stepmother after her father goes off one day and never comes back,Plot
beloved classic,Genre
aluminum trees and a speech about the meaning of christmas,Plot
cameron diaz,Actor
she play part as a teacher of an elementary school,Plot
staring a pig who wants to be a sheep dog,Plot
a puppet who dreams of becoming a real boy,Plot
clashes with the head nurse at a mental institution while simultaneously attempting to help its inmates,Plot
a banker who falls under hard times during the great depression,Plot
classic mafia,Genre
raspy voiced mafia don,Plot
a tin man a lion a scarecrow and a beautiful girl,Plot
seth rogan,Actor
they go on a trip across country as mother and son,Plot
rock star,Plot
assistant,Plot
under the sea featuring a princess that yearns to walk the land,Plot
two lion families and how they teach their cubs the way of the world,Plot
little girl is whisked off to a magical land on a tornado,Plot
follow the yellow brick road,Plot
fictional,Origin
children s,Genre
lawn gnomes coming to life,Plot
fictional superhero,Genre
focused on a teenage boy who frequently pretended to commit suicide,Plot
mark hamill,Actor
julia stiles heath ledger,Actor
high schools students,Plot
a confused and jaded businessman leaves his luxurious lifestyle to partake in secret brawls,Plot
two friends are forced to help rob a bank,Plot
friend,Plot
named napoleon,Character_Name
who helped his friend named,Plot
win class presidency,Plot
funny animated,Genre
main character is a lizard,Plot
a funny character from the middle east who comes to america as an emperor,Plot
funny movie,Genre
dr seuss book,Origin
sam spade,Character_Name
looking for the fat man,Plot
susan sarandon sean penn,Actor
ralphie,Character_Name
had to convince family friends and teachers what the perfect gift was for christmas,Plot
kids movie,Genre
where the weather is different types of food items,Plot
late 90 s,Year
jay mohr,Actor
takes place on new years eve,Plot
5 teens who fight back against an alien race that have attacked earth through the power supply,Plot
hockey mask wearing serial killer who stalks and murders camp counselors who are trying to reopen a summer camp,Plot
mask wearing serial killer who escapes from an institution and terrorizes teenagers in their community,Plot
a serial killer who removes his victim s skins to make gruesome clothing for himself,Plot
a spunky dog who plays a hero on tv and the hamster who helps him realize he is a hero in real life too,Plot
a teen girl who is transported from her quiet farm to a magical land where she befriends a lion a scarecrow and a tinman,Plot
a woman who convinces her small town lawyer lover to murder her rich husband during a searing heat wave in florida,Plot
a young girl living with her father and his girlfriend who discovers strange creatures hidden in their home,Plot
an awkward man who tries to make the move on his crush during a labor day party,Plot
seeing how deep that rabbit hole goes if you take the right pill,Plot
three talking pets who escape from a ranch to find their owners in san francisco,Plot
william shakespeare play,Origin
woodland fairies who control a royal marriage,Plot
that tells the arthurian legend in a more comedic way,Plot
scarlett johansson,Actor
form a romantic bond over several days in a tokyo hotel,Plot
we follow a robot in a post apocalyptic world where he has to clean up the mess,Plot
1800,Year
funny and also entertaining,Opinion
george jung,Character_Name
about a hero out for revenge,Plot
journey of her life to three countries where she truly discovers what life is about,Plot
anne,Plot
she is the heir to a throne,Plot
clashing ballerinas,Plot
takes place in the 1980 s in the summer after graduation,Plot
a man s survival after he becomes trapped under a boulder while canyoneering alone,Plot
follows the tragically short life of arguably the most genius and well known composer from the classical era,Plot
performing in a night club and becoming the star,Plot
wizards witches and creatures they call us muggles and one of them decided to kill a lot of them then went to jail,Plot
two different factions of robots engaged in war who come to earth in search of an ultimate power,Plot
book by steve harvey,Origin
the differences between men and women,Plot
charles dickens novel,Origin
centers around a character looking for self redemption,Plot
based off of a 1960 s tv series,Origin
vampire living with his dysfunctional family,Plot
a girl falls down a rabbit hole and goes on a series of adventures,Plot
an older man and a young man travel forward in time,Plot
a broke writer who turns his life around with a drug,Plot
michael cera,Actor
has to fight his love interest s seven evil exes,Plot
christopher lloyd,Actor
invent a device to travel through time,Plot
go on a road trip,Plot
where several people are trapped in an elevator and one of them is not who they appear to be,Plot
a group people who have to battle each in order for one to become victorious,Plot
book written by lewis carroll in 1865,Origin
very tall native american,Plot
chief broom,Character_Name
two girls who go to university and become roommates and one of them is crazy and becomes obsessed,Plot
set in 1920,Plot
a woman dreaming of stardom who is sent to death row for her lover s murder alongside a performer on death row for the murder of her sister,Plot
centers around the life of a musical composer playwright actor dancer and singer,Plot
former government assassin,Plot
a genie and a flying magic carpet,Plot
a group of boys terrorize others and one ends up in prison and wiggles his way into a rehabilitative program and pretends he has changed he also hates beethoven,Plot
quintin tarintino,Director
bad guy cuts off the ear of the cop and pours gas on him,Plot
romance and engagement which lasts a few years,Plot
man who loses his love and travels the world to fulfill a childhood dream,Plot
pierce brosnan,Actor
ewen mcgregor,Actor
pierce,Actor
a young man whose parents split after his brother s suicide and a young woman who tries to live life to the fullest after witnessing her mother s death,Plot
a woman and her husband get into a car accident and the woman loses her memory of ever being married to him and he has to try to get her to fall back in love with him,Plot
a physician and the love affair that develops between her and a fallen angel,Plot
r 2 d 2 c 3 po,Character_Name
world war 2 ranger unit tasked in finding the last of three brothers to survive the d day invasion,Plot
strange,Genre
a girl who is sold to a traveling showman,Plot
begins with a paris bound plane blowing up,Plot
corporate businessman falls in love with a cleaning lady,Plot
soldiers who refuse a mission and are therefore made examples of by their superiors,Plot
action horror,Genre
humans finding out about and attempting to eradicate two newly discovered species vampires and lycan,Plot
animated disney,Genre
ugly creature falls in love with a lovely woman,Plot
a robot who is left behind on an uninhabited earth whose responsibility is to clean up the mess that humans have made,Plot
a young boy and his very large robotic friend that the government wants to destroy,Plot
billy crystal steve buscemi,Actor
video game villain who sets out to fulfill his dream,Plot
a young boy who does a science experiment to bring his dog back to life,Plot
the weird ghost that wears black robe and a white mask,Plot
dragons and vikings in the same plot,Plot
exciting,Genre
marijuana,Plot
blake lively,Actor
who was in love with 2 men at the same time,Plot
a music label intern with the task of getting the labels famous singer to a reunion concert,Plot
one of the last of its series,Relationship
death follows a group of young individuals,Plot
a disney princess and numerous sidekicks all of different traits,Plot
neo noir,Genre
a cripple,Plot
marvel superhero movie,Genre
joss whedon,Director
dudley moore,Actor
an alcoholic millionaire,Plot
all the child wanted for the holidays was a bebe gun,Plot
remade the original,Origin
hayley mills,Actor
dean jones,Actor
a woman gets kidnapped and uses a pet to send a message to its owner,Plot
river phoenix,Actor
male hustlers,Plot
a man finds out as he s about to get married that his aunts are insane,Plot
50,Year
a boy a stray dog he comes to love and a tragic ending,Plot
private eye who becomes enchanted with a beautiful blonde woman he is hired to follow,Plot
final trilogy film,Relationship
destroys the ring in mordor,Plot
first film,Relationship
a young boy who discovers he is a wizard,Plot
coming,Plot
age film about the crime ridden lives of south central teenagers,Plot
a professor on a quest to save the world,Plot
a man s father is killed and his mother marries the murderer which is his uncle,Plot
shakespeare classic,Origin
a young woman writes a book about black women who work for white families in the deep south in the 1960 s,Plot
drugs destroy the lives of many people in many ways,Plot
regular guy meets a beautiful woman and falls for her and she for him but he does n t trust that she s really into him,Plot
a weatherman and lives the same day over and over again,Plot
hunky professor on a mission to save the world from nazis,Plot
a little girl superhero,Plot
hit girl,Character_Name
she s determined to find love and deal with her issues of weight and insecurity,Plot
the store of the state of texas freeing itself from mexico in an epic battle,Plot
where a man risks all he has to save the lives of many jews,Plot
go head to head the dark side in an intergalactic battle of epic proportions,Plot
a secret agent who has to look after his girlfriend s three kids,Plot
daughter disowns her mother because she s a noticeable african american woman yet she the daughter can pass for white,Plot
the man is a doctor and he s framed for his wife s death and he becomes wanted,Plot
the book by eric segal,Origin
they play college students who are attracted to each other,Plot
jim belushi,Actor
involves a fraternity house and toga parties,Plot
laurence olivier,Actor
has a new wife who becomes obsessed with the death of his old wife,Plot
sequel to el mariachi,Relationship
antonio bandaras,Actor
salma hayek,Actor
malcolm mcdowell,Actor
a troubled youth in a dystopian england,Plot
fantasy action,Genre
takes place during world war ii and,Plot
and his outfit look for,Plot
damon s,Actor
character,Plot
there were all these alien pods that were using humans as hosts to reproduce,Plot
classic italian,Genre
about a jewish family in the pre holocaust italy,Plot
story of a future where humans are subservient to orangutans and chimpanzees,Plot
retired outlaws,Plot
american western film,Genre
may december romance,Plot
original adaptation,Relationship
a pierre boulle novel,Origin
an h g wells novel,Origin
the events leading up to and during a fictional second dark age in humankind following a catastrophic world war,Plot
stepmother to a little girl who has to fight of malevolent creatures in her new home,Plot
kevin james,Actor
a high school teacher who takes up boxing for a worthy cause,Plot
90,Year
michelle pfeiffer,Actor
annette benning,Actor
star as,Plot
thora birch s,Character_Name
dysfunctional parents,Plot
two people whose romance begins on the internet,Plot
gathering of college buddies,Plot
kevin kline glenn close,Actor
and his twisted relationship with his mother,Plot
tony curtis,Actor
in drag,Plot
chinese,Genre
remade into a western,Relationship
yul brenner,Actor
classic cowboy,Genre
western movie,Genre
an outlaw and his sidekick,Plot
the wager of a professor that believes that he can take a commoner woman and turn her into someone that can pass in high society,Plot
two characters in drag,Plot
cary grant katherine hepburn,Actor
big cat with an innocent name,Plot
possessed little girl,Plot
a magical maid who brightens up the lives of the children in her charge,Plot
about how life changes for all who experience a ufo,Plot
classic western,Genre
a sheriff that does not have the support of the people from his own town,Plot
zombie,Genre
the story of four men who travel back to the 1980 s and emerge with a positive life changing experience,Plot
a young pizza delivery driver is kidnapped and strapped with a bomb,Plot
a woman who is bitter about her best friend getting married and another woman is the maid of honor,Plot
billy bean,Character_Name
a small number of teenagers that have super powers and these teenagers all have bad guys looking for them there is a limited number of their kind,Plot
universal studios,Director
monster who is afflicted by the bite of a lupine beast,Plot
a mildly retarded young man whose exploits manage to have him play a pivotal part in dozens of historic events,Plot
adaptation of a,Relationship
suzanne collins novel,Origin
dystopian society where teenagers fight to the death,Plot
classic vampire story,Genre
written by bram stoker,Origin
children s fairy tale,Genre
witch a fair girl and the little men who befriend and protect her,Plot
mr miyaggi,Character_Name
he teaches a young man how to defend himself using the martial arts,Plot
bus that is about to blow up,Plot
hillary swank,Actor
a woman who puts herself through law school in order to defend her brother who has been convicted of murder,Plot
gothic soap opera vampire,Plot
futuristic action adventure film,Genre
man finds out that he has been implanted with false memories and he has to go on the run,Plot
four male friends who go on an ill fated weekend trip to the wilderness,Plot
ruth gordon,Actor
a young man who is attracted to a senior citizen,Plot
modern classic film,Genre
an idiot savant,Plot
the bond between two friend,Plot
bette midler,Actor
barbara hershey,Actor
child who kills most of his family,Plot
two men who lead very different lives urinate into a fountain and inhabit each others bodies as a result,Plot
inspired by,Origin
a fairytale of a young girl trying to defeat and defend herself from an evil woman,Plot
a stuffed bear in it that a boy grows up with the bear comes to life and they hang out together and go through life s ups and downs,Plot
a very big ape that was captured off an island and brought back to the states the ape falls in love with a blond woman in the movie and they wind up on top of a skyscraper,Plot
spin off,Relationship
